Title,Content
"SE mums need your help to find a good area (Grove Park, Beckenham and surroundings)","Hi, We need to move by the end of the year from our rental in Hither Green, we live on the Catford end so unfortunately we get a lot of petty crime and incidents so we want to move somewhere else. My daughter will go to Bonus Pastor so we are considering the following areas: -Grove Park/Horn Park/Lee -Sundridge Park -New Beckenham/Beckenham Junction We need/want; -An easy not long commute to London Bridge/Cannon Street. -A good state primary school for our 8 yo son. -A safe area, at least safer than Hither Green, I know there is petty crime all over London but in some areas less than others. Would you recommend the areas above? Any streets/specific areas to avoid? We are considering buying a house. Thank you"
At the end of my tether with 6mo - is this normal?,"I have a 6 month old DS who never slept well but has recently taken a turn for the worse beyond even the 4 month sleep regression which lasted 1.5 months for us. We’ve only really had about 2 good weeks of sleep since beginning of the year. I started weaning at 6 months and while that’s going ok, I’ve decided to stop breastfeeding as he just isn’t sleeping more than 2 hours at a time, 2.5/3 at a push and I’m desperate for some help from my husband or family. I’ve introduced formula, and while it says on the tin they need 5 x 210ml a day, he’s chugging through 3 x 210ml plus 5 breastfeeds and 2 meals a day (porridge, veggie pasta, etc) and having at least 3 feeds at night. I can’t understand why he is taking on so much and nothing I do in regards to feeding is making any difference. Is it normal for a 6 month old to need to eat this much? He goes “to bed” at just gone 7, wakes 10, 12, 1 3, at 5am wakes for about half an hour and then wakes for the day at 7. Im absolutely exhausted and feel like I can’t keep this up for much longer - I don’t know if it’s a schedule issue but I can’t settle him in the night without him feeding and he is taking the milk. He settles himself at bedtime and we’ve been working on this. During the day his naps are all over the place in terms of length, they can be 20 mins or 2hrs there’s no consistency so it makes it hard to keep to our set bedtime in terms of wake windows. if anyone has any advice I’d be so grateful as I’m trying to save for a sleep consultant."
Can all of these physical symptoms really be caused by stress and anxiety? I don’t know how to snap out of it,"So back in September I started feeling lightheaded as if a boat was moving or as if the floor dropped beneath my feet, went to the gp a number of times who eventually put it down to it being viral but it’s never gone away since then. Some days I’ll be fine, if I’m happy I’ll forget about it it kind of goes away. I do need glasses and my prescription is 0.50 both eyes I last had them tested in June 2024 and she said I don’t need glasses all the time but when I feel comfortable like I need them, my eyesight has been feeling more blurry and I’ve also found when I permanently wear my glasses the “dizziness” also resolves completely. During all this time I’ve been using my phone for about 8 and a half hours each day googling my symptoms and thinking I’m dying.I’ve been under a lot of stress, always suffered with anxiety but after a 6 year age gap I had another baby. My kids are now 9,7 and 18 months and I am a stay at home mum with no support and my toddler is absolutely killing me. She has never slept through the night, even at 18 months she won’t be put down on the floor or entertain myself so I cook, clean and do everything with her attached to my hip and she is so heavy now and this has been going on since she was 7 months old. I’ve tried"
letting her cry it out but she just doesn’t quit and give up she will continue screaming until she’s red in the face and exhausts herself,"letting her cry it out but she just doesn’t quit and give up she will continue screaming until she’s red in the face and exhausts herself. Husband doesn’t help much and I never get time to switch off and I do all the school runs and care with my children and home care and I’m so so so exhausted. On top of other daily life stresses we have recently gone through a stressful time of buying a new house. I’ve always suffered with some kind of anxiety but since my pregnancy with my 18 month old I’ve felt my health has declined so much, I had such a difficult pregnancy with her which resulted in hyperemis, depression during pregnancy, a difficult birth with a lot of blood loss, suffered with post partum depression to some degree and also it took months and months to get my iron levels up to standard. And now the dizziness that started in September before she turned 1. Doctor did a blood test and my iron levels had come back to a couple of points below average so he considered it now to be normal. Due to all these symptoms of lightheadedness I started having severe panic attacks which I never had before, these have now eased off and are much better than they was before but they were so bad. I’d have them whilst waiting for my children at school and the dizziness feeling I was getting was even worse during these moments. I’d wake up in the middle of the night with these panic attacks for a couple of months, racing heart, tingling feeling, the dizzy feeling being severe during these times. For the last couple of weeks/days though I’ve had other symptoms of numbness in my face and arms and I feel as if one side of my face is dropping so I start panicking more and keep checking in the mirror to see if my face is “normal” I keep getting these sensations at certain places like when I get into bed at night and the school play ground and end up having a panic attack from it. I’m scared I will end up having a stroke or something, I’m worried the dizziness feeling is something nurological. I don’t know anymore. Can stress and anxiety and sleep deprivation really cause all of these symptoms ?"
Lack of eye contact up close 6 months,I’m looking for advice my little boy is 6 months and when up close doesn’t like looking at me from a distance very engaging laughing smiling and when lying down. But when on my knee rarely looks me up close I’m in an anxious state and really beginning to worry about his future has anyone had similar and baby has turned out neurotypical?
5 yr old son tried to kill dh yesterday,"We were walking along a very busy road and ds asked dh for chocolate. Dh said no so ds then tried to push him onto the road. We both then explained to him how dangerous it was and how that would hurt daddy etc. His response was I don't care. He then pushed dh with all his might onto the road again. He then said hahaha I'm going to kill you. This is our daily life what happened yesterday happens alot. He punches his older siblings, breaks stuff. He screams at the top of his voice all the time. I got myself a new plant today and was showing dh and kids it the minute I put it down He ripped it apart. He watched me cry and said hahaha it's dead now. I've asked social work for help 3 times now nothing happens His school are having the same problems. Even with a one to one full time. it's still a struggle for them He can't even eat lunch with the other children because of his violence. The doctor put me one more medication for low mood and anxiety today. So three lots of medication I'm on now. I'm scared for us but I'm really scared what ds will grow up to me. He has been diagnosed with autism and awaiting a adhd assessment ( 3 yr wait)"
One day old baby in pub,"So family member gave birth to first baby yesterday afternoon, she's a very young mum only 17 , normal delivery but episiotomy, baby good weight healthy. Was discharged home today and a couple of hours later was at the local pub not drinking alcohol just showing baby off and eating a meal , but am I right in thinking a day old baby baby is really too young to be in a pub or anywhere really , also worried she should be resting as obviously will be sore. Other family members have said I'm being old fashioned am I."
How to tell if toddler has bladder control?,I want to try potty training with my almost 3 year old as she shows a lot of signs of being ready and already uses the potty sometimes. However I’m not sure if she has sufficient bladder control as her nappy often seems a bit wet even after relatively short times and when she is going to the potty at night she often does several small wees. Is there any way to tell if she us ready without just giving it a go (which we plan to do over Easter)? She does have low muscle tone which can affect bladder control from what I’ve read but not all children are affected in the same way.
"Baby refuses milk, takes water",My baby is 7 months old and I've just returned to work. He's refusing milk out of any bottle or cup. We've tried pumped breast milk and we've tried formula but the only thing
AIBU it’s only fair ds goes?,"have a section of our garden built up and dedicated to that sport. He just teaches our dc and they play there now. Ds has mostly had garden parties and then and on play dates his friends play there also. Mum of one of his friends at a past play date mentioned her ds would love to learn do the sport and do something like this for his birthday but couldn’t find anywhere near. Dh said that he’s welcome to come and practice whenever and actually could have party here if she couldn’t find anywhere else. It was then agreed her ds could have his party in our garden and borrow equipment we had but that obviously over wise party organising is her responsibility. She has other entertainment, food arranged ect, party is quite soon. She’s now said that she doesn’t think my DS should come as she’s worried the fact it’s his house/garden and he is good at the sport will take the shine of her DS and people will think it’s my DS’s day instead. And as it’s an out of school friend he would only know a few of kids anyway. She never specifically said ds was invited we just assumed and we probably agreed based on that assumption. I don’t think its fair to have ds locked in the house or taken out when his friends and boys his age playing in our garden and am shocked she thinks this is an okay suggestion. AIBU it’s only fair ds goes?"
